cod_colegio,meac,cod_residente_junior,colegio_meac
2,1,1,2-1
2,2,1,2-2
2,3,1,2-3
2,4,1,2-4
2,5,1,2-5
2,6,1,2-6
2,7,1,2-7
2,8,1,2-8
2,9,1,2-9
2,10,1,2-10
2,11,1,2-11
2,12,1,2-12
8,1,2,8-1
8,2,2,8-2
8,3,2,8-3
8,4,2,8-4
9,1,3,9-1
9,2,3,9-2
9,3,3,9-3
9,4,3,9-4
9,5,3,9-5
9,6,3,9-6
9,7,3,9-7
9,9,3,9-9
9,11,3,9-11
9,8,4,9-8
9,10,4,9-10
9,12,4,9-12
9,13,4,9-13
9,14,4,9-14
9,15,4,9-15
9,16,4,9-16
13,1,5,13-1
31,1,5,31-1
14,1,6,14-1
14,2,6,14-2
14,3,6,14-3
14,4,6,14-4
14,5,6,14-5
14,6,6,14-6
21,1,7,21-1
21,2,7,21-2
21,3,7,21-3
21,4,7,21-4
21,5,7,21-5
21,6,7,21-6
21,7,7,21-7
21,8,7,21-8
21,9,7,21-9
21,10,7,21-10
23,1,8,23-1
23,2,8,23-2
23,3,8,23-3
23,4,8,23-4
23,5,8,23-5
34,1,9,34-1
34,2,9,34-2
34,3,9,34-3
34,4,9,34-4
37,1,10,37-1
37,2,10,37-2
37,3,10,37-3
37,4,10,37-4
37,5,10,37-5
40,1,11,40-1
40,2,11,40-2
40,3,11,40-3
40,4,11,40-4
40,5,11,40-5
41,1,12,41-1
41,2,12,41-2
41,3,12,41-3
41,4,12,41-4
41,5,12,41-5
41,6,12,41-6
41,7,12,41-7
41,8,12,41-8
41,9,12,41-9
41,10,12,41-10
41,11,12,41-11
41,12,12,41-12
41,13,12,41-13
41,14,12,41-14
41,15,12,41-15
55,1,13,55-1
55,2,13,55-2
55,3,13,55-3
55,4,13,55-4
55,5,13,55-5
58,1,14,58-1
58,2,14,58-2
